name,code,entry_year,category,actual_1y,label_2x,label_3x,mb_score_3x,pass_3x,mb_score_2x,pass_2x,pts,floor,s1,s2,s3,s4,scp,p_eff,s4_ovmv,catalyst_grade,regime,mb_raw,secondary_mult,resonance,source
昆仑万维,300418,2023,3x,2.8,True,True,0.7512894737095687,False,0.7385838263282736,True,0.754,0.85,0.78,0.84,0.4,0.6340000000000001,0.4,15.0,3.0,S,R2,0.6714520503357093,0.97,1.05,Prompt文件原始样本
华友钴业,603799,2020,2x,2.5,True,False,0.7450070478487909,False,0.7439933317341764,True,0.7915,0.85,0.78,0.8,0.48,0.6715000000000001,0.65,15.0,2.5,S,R1,0.6888827145686818,1.0,1.0,扩展正样本：钴资源+三元前驱体，新能源周期
智飞生物,300122,2020,3x,2.3,True,True,0.7105867103536506,False,0.7075021262113433,True,0.7839999999999999,0.85,0.7,0.8,0.45,0.709,0.6,15.0,2.8,S,R1,0.6753552178420612,0.97,1.0,Prompt文件原始样本（FN边缘）
晶澳科技,002459,2021,2x,2.3,True,False,0.6935939655951282,False,0.6879733557343557,True,0.7765,0.85,0.78,0.8,0.45,0.7615000000000001,0.55,18.0,2.5,S,R2,0.7077915182452218,1.0,1.0,2x Patch样本（光伏组件）
三花智控,002050,2020,2x,2.2,True,False,0.6922003043314716,False,0.6892692176982834,True,0.651,0.85,0.72,0.72,0.5,0.6885,0.65,22.0,2.0,A,R1,0.6627588631714263,1.0,1.0,2x Patch样本（热管理）
北京君正,300223,2019,3x,2.2,True,True,0.6833303515722186,False,0.6793335464773836,False,0.689,0.85,0.7,0.78,0.45,0.6339999999999999,0.5,20.0,2.5,S,R2,0.6484665392109428,0.97,1.0,Prompt文件原始样本（FN边缘）
北方华创_19,002371,2019,neg,1.8,False,False,0.6712436283177755,False,0.6766150303607497,False,0.729,0.85,0.68,0.68,0.5,0.7165,0.65,12.0,2.2,A,R2,0.6505913753468746,1.0,1.0,原始负样本边缘：2019年时机不对，2022年才爆发
华测检测,300012,2020,2x,2.2,True,False,0.6406512839735768,False,0.6316717753013613,False,0.6285,0.78,0.65,0.6,0.5,0.6659999999999999,0.5,28.0,2.0,A,R1,0.6073767070205397,1.0,1.0,2x Patch样本（FN边缘，检测）
金山办公,688111,2020,2x,2.2,True,False,0.6378237952015275,False,0.6411100133700152,False,0.6715,0.85,0.72,0.72,0.35,0.709,0.6,30.0,2.5,A,R1,0.6355174597244401,0.97,1.0,扩展正样本：疫情驱动远程办公，国产替代
万兴科技_23,300624,2023,3x,2.1,True,True,0.6237965934691223,False,0.6140427765277623,False,0.6665,0.85,0.7,0.78,0.4,0.5665,0.35,20.0,2.5,S,R2,0.6179979634941246,0.92,1.0,Prompt文件原始样本（FN边缘，AI概念）
领益智造,002600,2019,3x,2.1,True,True,0.6107719964149968,False,0.6072516958296454,False,0.7389999999999999,0.85,0.68,0.78,0.45,0.6339999999999999,0.5,18.0,2.8,S,R2,0.6440665392109428,0.97,1.0,Prompt文件原始样本（FN边缘）
迈瑞医疗,300760,2020,2x,2.0,True,False,0.6106506612464977,False,0.6145712305763888,False,0.6525000000000001,0.85,0.65,0.6,0.45,0.7124999999999999,0.75,25.0,1.5,A,R1,0.609210180983732,0.97,1.0,2x Patch样本（FN边缘，慢牛）
柏楚电子,688188,2021,neg,1.5,False,False,0.5741418327798129,False,0.5700654862995919,False,0.581,0.78,0.68,0.55,0.38,0.636,0.6,35.0,2.0,A,R2,0.565092670796582,0.97,1.0,原始负样本：增速不够快
比亚迪_22,002594,2022,neg,0.85,False,False,0.543043017690149,False,0.6152395892258727,False,0.66,0.85,0.78,0.78,0.3,0.765,0.8,50.0,1.2,S,R4,0.6701956309650029,0.85,1.0,扩展负样本：大市值天花板+渗透率>50%
宁德时代_22,300750,2022,neg,0.75,False,False,0.5398701779527171,False,0.5630504394247842,False,0.635,0.78,0.72,0.8,0.25,0.8250000000000001,0.9,55.0,1.5,S,R4,0.6683884608556316,0.78,1.0,扩展负样本：高渗透率+R4宏观，典型好股但时机差
景嘉微,300474,2023,neg,1.3,False,False,0.5308031292241072,False,0.5236797262448253,False,0.641,0.78,0.52,0.72,0.35,0.5535000000000001,0.45,15.0,2.0,A,R2,0.5473241286003608,0.92,1.0,原始负样本：GPU量产延迟
中科创达,300496,2021,neg,1.6,False,False,0.511547696043735,False,0.5046193037287282,False,0.591,0.78,0.62,0.6,0.4,0.48350000000000004,0.45,30.0,2.0,A,R2,0.5274031184455771,0.92,1.0,原始负样本：华为不确定性
恩捷股份,002812,2021,neg,1.45,False,False,0.5057319604911071,False,0.5003024429072876,False,0.5735,0.78,0.62,0.6,0.4,0.6285000000000001,0.55,38.0,2.0,A,R2,0.5683601621656514,0.8464,1.0,原始负样本：隔膜竞争加剧
开立医疗,300633,2022,neg,1.3,False,False,0.504474430615394,False,0.5037967032874096,False,0.5735,0.78,0.55,0.55,0.4,0.5585,0.55,22.0,1.8,B,R3,0.5193780446261954,0.97,1.0,扩展负样本：医疗器械集采预期压制
阳光电源_23,300274,2023,neg,0.7,False,False,0.49905645882957905,False,0.5185781404001405,False,0.6260000000000001,0.78,0.68,0.72,0.3,0.7935000000000001,0.75,45.0,1.8,A,R3,0.6392728555228555,0.78,1.0,扩展负样本：逆变器渗透率已高，估值过热后下行
信维通信,300136,2019,neg,1.3,False,False,0.4891437567005542,False,0.4891437567005542,False,0.4225,0.0,0.58,0.62,0.4,0.51,0.4,40.0,1.5,B,R2,0.5316779964136459,0.92,1.0,原始负样本：天线可替代
隆基绿能_22,601012,2022,neg,0.65,False,False,0.48398057159410107,False,0.49967992451623244,False,0.6110000000000001,0.78,0.6,0.72,0.35,0.7335,0.65,45.0,1.8,A,R3,0.615976238308965,0.78,1.0,扩展负样本：N型替代冲击，渗透率已高
龙芯中科,688047,2023,neg,0.8,False,False,0.4638907933793444,False,0.4638907933793444,False,0.6234999999999999,0.78,0.38,0.62,0.5,0.49100000000000005,0.5,8.0,1.8,B,R2,0.5042291232384178,0.92,1.0,原始负样本：商业化证伪
恒瑞医药,600276,2021,neg,0.55,False,False,0.45755158216738684,False,0.4757675403605219,False,0.605,0.78,0.6,0.6,0.35,0.75,0.7,40.0,1.5,A,R3,0.5864984471899924,0.78,1.0,扩展负样本：医保集采政策黑天鹅
天齐锂业_22,002466,2022,neg,0.5,False,False,0.4469581472431304,False,0.5124270114705709,False,0.66,0.85,0.65,0.68,0.35,0.605,0.8,25.0,1.2,A,R4,0.579668565011958,0.85,1.0,扩展负样本：锂矿周期顶部，价格暴跌
万兴科技_对照,300624,2023,neg,1.4,False,False,0.44309423264247766,False,0.4377172052283225,False,0.5135000000000001,0.78,0.62,0.68,0.35,0.4685,0.35,25.0,1.8,B,R2,0.5338014697906373,0.82,1.0,原始负样本：AI概念退潮后对照组
蓝思科技,300433,2019,neg,1.25,False,False,0.43736767944153576,False,0.43736767944153576,False,0.4225,0.0,0.52,0.52,0.42,0.44,0.4,45.0,1.5,B,R2,0.4753996515668867,0.92,1.0,原始负样本：玻璃可替代
迈瑞医疗_21,300760,2021,neg,0.8,False,False,0.4364898842297167,False,0.4574287268464126,False,0.59,0.78,0.62,0.58,0.3,0.7124999999999999,0.75,35.0,1.5,A,R3,0.5638914285582008,0.78,1.0,扩展负样本：高PE消化，估值过高
中软国际,354,2023,neg,1.1,False,False,0.4327976190375149,False,0.4327976190375149,False,0.485,0.0,0.5,0.55,0.38,0.44,0.4,30.0,1.5,B,R2,0.47043219460599445,0.92,1.0,扩展负样本：IT服务，AI概念但无实质收益
东方财富_22,300059,2022,neg,0.75,False,False,0.374775526672802,False,0.3758102676034516,False,0.4975,0.0,0.55,0.5,0.3,0.6125,0.55,50.0,1.5,B,R4,0.49815783086353604,0.7544,1.0,扩展负样本：市场下行，券商经纪收入下滑
安恒信息,688023,2021,neg,0.7,False,False,0.3514845285706047,False,0.3514845285706047,False,0.485,0.0,0.48,0.52,0.35,0.44,0.4,25.0,1.5,B,R3,0.4511996515668867,0.7789999999999999,1.0,原始负样本：安全赛道内卷
金山办公_21,688111,2021,neg,1.2,False,False,0.350394829989567,False,0.3543572886719071,False,0.48249999999999993,0.0,0.58,0.5,0.3,0.575,0.6,42.0,1.5,B,R3,0.4944428317685816,0.71668,1.0,原始负样本：估值消化期
国轩高科,002074,2022,neg,0.9,False,False,0.34992562041876557,False,0.3528885896675622,False,0.4375,0.0,0.58,0.6,0.3,0.525,0.5,40.0,1.5,B,R4,0.5084498329619309,0.694048,1.0,扩展负样本：动力电池二线，份额被宁德挤压
博腾股份,300363,2023,neg,0.6,False,False,0.33690580652282937,False,0.34065435462631305,False,0.5,0.78,0.42,0.5,0.35,0.455,0.5,25.0,1.5,B,R2,0.4367363520850167,0.78,1.0,扩展负样本：CXO景气下行，客户推迟订单
汇顶科技,603160,2021,neg,0.6,False,False,0.320927175195352,False,0.32042642758882844,False,0.3975,0.0,0.45,0.5,0.3,0.5075000000000001,0.45,60.0,1.5,B,R3,0.4470983250388297,0.71668,1.0,扩展负样本：指纹芯片渗透率饱和
广联达,002410,2021,neg,0.9,False,False,0.3131888955415352,False,0.3141671898651771,False,0.46749999999999997,0.0,0.48,0.4,0.35,0.515,0.5,35.0,1.5,B,R3,0.4383646674459691,0.71668,1.0,原始负样本：地产拖累
卫宁健康,300253,2021,neg,0.75,False,False,0.31246993699838777,False,0.31246993699838777,False,0.4225,0.0,0.45,0.45,0.3,0.44,0.4,35.0,1.5,B,R3,0.41419662910708877,0.7544,1.0,扩展负样本：医疗信息化增速放缓
英科医疗,300677,2021,neg,0.35,False,False,0.23313305787269956,False,0.22398040634129185,False,0.24,0.0,0.4,0.45,0.35,0.3825,0.35,55.0,0.8,C,R3,0.3979355400693816,0.59248,1.0,扩展负样本：一次性手套需求后疫情崩塌
